MID;TITLE;YEAR;GENRES
976;Dumb and Dumberer: When Harry Met Lloyd;2003;Comedy,
594;Dungeons & Dragons;2000;Comedy,Adventure,Action,Fantasy,
1236;Dungeons & Dragons: Wrath of the Dragon God;2005;Adventure,Action,Fantasy,
774;Duplex;2003;Comedy,
1818;Duplicity;2009;Romance,Thriller,Crime,
1926;Død snø;2009;Comedy,Horror,
1765;Eagle Eye;2008;Action,Mystery,Thriller,
1190;Earth;2007;Documentary,
1928;Easy A;2010;Comedy,Romance,
1646;Eat Pray Love;2010;Drama,Romance,
1887;Edge of Darkness;2010;Drama,Mystery,Thriller,Crime,
2164;Edge of Tomorrow;2014;Adventure,Sci_Fi,Action,
1203;Eight Below;2006;Drama,Adventure,Family,
794;Eight Legged Freaks;2002;Comedy,Horror,Sci_Fi,Action,Thriller,
1170;El Lobo;2004;Thriller,
1419;El laberinto del fauno;2006;Drama,War,Fantasy,
1441;El orfanato;2007;Drama,Mystery,Thriller,
1942;El secreto de sus ojos;2009;Drama,Mystery,Thriller,
1046;Elektra;2005;Drama,Action,Musical,Fantasy,Thriller,Crime,
1071;Elephant;2003;Drama,Thriller,Crime,
945;Elf;2003;Comedy,Family,Romance,Fantasy,
1096;Elizabethtown;2005;Comedy,Drama,Romance,
969;Ella Enchanted;2004;Comedy,Family,Romance,Fantasy,
2197;Elle s'appelait Sarah;2010;Drama,War,
1428;Enchanted;2007;Comedy,Animation,Family,Romance,Musical,Fantasy,
2280;End of Watch;2012;Drama,Thriller,Crime,
2225;Ender's Game;2013;Sci_Fi,Action,
646;Enemy at the Gates;2001;Drama,History,War,Romance,Thriller,
2614;Ennu Ninte Moideen;2015;Drama,Romance,
1941;Enthiran;2010;Sci_Fi,Action,Romance,
2200;Entourage;2015;Comedy,
1628;Epic;2013;Animation,Adventure,Family,Fantasy,
1576;Epic Movie;2007;Comedy,Adventure,
684;Equilibrium;2002;Drama,Sci_Fi,Action,Thriller,
603;Erin Brockovich;2000;Drama,Biography,
2259;Ernest et Célestine;2012;Comedy,Drama,Animation,Family,
1868;Escape Plan;2013;Action,Mystery,Thriller,
1556;Escape from Planet Earth;2013;Comedy,Animation,Adventure,Sci_Fi,Family,
1260;Evan Almighty;2007;Comedy,Family,Fantasy,
2482;Everest;2015;Drama,History,Adventure,Biography,Thriller,
1932;Evil Dead;2013;Horror,
723;Evolution;2001;Comedy,Sci_Fi,Adult,
1461;Ex Machina;2015;Drama,Sci_Fi,Mystery,
694;Exit Wounds;2001;Comedy,Drama,Action,Thriller,Crime,
2080;Exodus: Gods and Kings;2014;Drama,Adventure,Action,
617;Exorcist: The Beginning;2004;Horror,Mystery,Thriller,
1477;Extremely Loud & Incredibly Close;2011;Drama,Adventure,Mystery,
2518;Fack ju Göhte;2013;Comedy,
1332;Factory Girl;2006;Drama,Biography,
1060;Fahrenheit 9/11;2004;Documentary,
1312;Failure to Launch;2006;Comedy,Romance,
1730;Fame;2009;Comedy,Drama,Romance,Musical,
1516;Fanboys;2009;Comedy,Drama,Adventure,
2070;Fantastic Four;2015;Adventure,Sci_Fi,Action,
1330;Fantastic Mr. Fox;2009;Comedy,Animation,Adventure,Crime,
1727;Fast & Furious;2009;Drama,Action,Thriller,Crime,
2125;Fast Five;2011;Action,Thriller,Crime,
1199;Fat Albert;2004;Comedy,Family,Romance,Fantasy,
2417;Fifty Shades of Grey;2015;Drama,Romance,
604;Final Destination;2000;Horror,Thriller,
904;Final Destination 2;2003;Horror,Thriller,
1265;Final Destination 3;2006;Horror,Thriller,
2157;Final Destination 5;2011;Horror,Thriller,
556;Final Fantasy: The Spirits Within;2001;Animation,Adventure,Sci_Fi,Action,Romance,Fantasy,
1288;Find Me Guilty;2006;Comedy,Drama,Biography,Crime,
569;Finding Forrester;2000;Drama,
902;Finding Neverland;2004;Drama,Biography,Family,
1693;Fireflies in the Garden;2008;Drama,
1809;Fireproof;2008;Drama,Romance,
1246;Firewall;2006;Thriller,Crime,
1282;Flags of Our Fathers;2006;Drama,History,War,
1672;Flammen & Citronen;2008;Drama,History,War,Thriller,
