MID;TITLE;YEAR
497;Deep Blue Sea;1999
498;All the Pretty Horses;2000
499;Double Jeopardy;1999
500;Jeans;1998
501;Joan of Arc;1999
502;Never Been Kissed;1999
503;Office Space;1999
504;The Thomas Crown Affair;1999
505;Psycho;1998
506;The Next Best Thing;2000
507;Random Hearts;1999
508;The Flintstones in Viva Rock Vegas;2000
509;Muppets from Space;1999
510;South Park: Bigger, Longer & Uncut;1999
511;The Virgin Suicides;1999
512;Behind Enemy Lines;2001
513;Cold Mountain;2003
514;Charlie's Angels;2000
515;D-Tox;2002
516;Lost Souls;2000
517;Rules of Engagement;2000
518;She's All That;1999
519;Tumbleweeds;1999
520;What Lies Beneath;2000
521;Nirgendwo in Afrika;2001
522;Cast Away;2000
523;Ghost World;2001
524;Shaft;2000
525;Sleepy Hollow;1999
526;Hanging Up;2000
527;Jurassic Park III;2001
528;Runaway Bride;1999
529;American Pie;1999
530;Hollow Man;2000
531;Drive Me Crazy;1999
532;The Sum of All Fears;2002
533;Along Came a Spider;2001
534;Stuart Little;1999
535;Romeo Must Die;2000
536;Sinbad: Legend of the Seven Seas;2003
537;Monkeybone;2001
538;Waking Ned;1998
539;Anna and the King;1999
540;Spirit: Stallion of the Cimarron;2002
541;Mulholland Dr.;2001
542;Hellboy;2004
543;The Lord of the Rings: The Return of the King;2003
544;The Lord of the Rings: The Two Towers;2002
545;The Sixth Sense;1999
546;The Best Man;1999
547;Can't Be Heaven;2000
548;Dancer in the Dark;2000
549;American Beauty;1999
550;How the Grinch Stole Christmas;2000
551;The Haunting;1999
552;Nurse Betty;2000
553;Bad Boys II;2003
554;Girl, Interrupted;1999
555;Gladiator;2000
556;Final Fantasy: The Spirits Within;2001
557;Autumn in New York;2000
558;Scary Movie;2000
559;Magnolia;1999
560;Universal Soldier: The Return;1999
561;Galaxy Quest;1999
562;The Perfect Storm;2000
563;Ringu;1998
564;But I'm a Cheerleader;1999
565;The Adventures of Pluto Nash;2002
566;Quills;2000
567;Requiem for a Dream;2000
568;Blue Streak;1999
569;Finding Forrester;2000
570;Minority Report;2002
571;Terminator 3: Rise of the Machines;2003
572;Traffic;2000
573;Almost Famous;2000
574;Bicentennial Man;1999
575;Me, Myself & Irene;2000
576;Mission to Mars;2000
577;Phone Booth;2002
578;Pollock;2000
579;A Knight's Tale;2001
580;Shanghai Noon;2000
581;Wonder Boys;2000
582;Battlefield Earth;2000
583;The Blair Witch Project;1999
584;Drowning Mona;2000
585;Frequency;2000
